tiup is checking updates for component bench ...
Starting component `bench`: /home/lintianshi/.tiup/components/bench/v1.10.3/tiup-bench tpcc --warehouses 8 -H 172.16.4.76 -P 4056 -p W#p=@5T7bgz3Y20-x9 --threads 4 run
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 101, TPM: 625.0, Sum(ms): 888.8, Avg(ms): 8.8, 50th(ms): 9.4, 90th(ms): 12.1, 95th(ms): 13.1, 99th(ms): 15.2, 99.9th(ms): 15.2, Max(ms): 15.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1007, TPM: 6058.3, Sum(ms): 10709.0, Avg(ms): 10.6, 50th(ms): 10.0, 90th(ms): 14.7, 95th(ms): 17.8, 99th(ms): 24.1, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 68, TPM: 426.5, Sum(ms): 1042.3, Avg(ms): 15.3, 50th(ms): 15.2, 90th(ms): 18.9, 95th(ms): 21.0, 99th(ms): 21.0, 99.9th(ms): 21.0, Max(ms): 21.0
[Current] DELIVERY - Takes(s): 10.0, Count: 67, TPM: 402.2, Sum(ms): 6908.3, Avg(ms): 103.2, 50th(ms): 88.1, 90th(ms): 167.8, 95th(ms): 176.2, 99th(ms): 243.3, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 783, TPM: 4698.8, Sum(ms): 18650.5, Avg(ms): 23.8, 50th(ms): 19.9, 90th(ms): 39.8, 95th(ms): 48.2, 99th(ms): 62.9, 99.9th(ms): 79.7, Max(ms): 92.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 82, TPM: 494.7, Sum(ms): 901.9, Avg(ms): 11.0, 50th(ms): 10.0, 90th(ms): 19.9, 95th(ms): 23.1, 99th(ms): 25.2, 99.9th(ms): 28.3, Max(ms): 28.3
[Current] PAYMENT - Takes(s): 10.0, Count: 812, TPM: 4875.5, Sum(ms): 12045.7, Avg(ms): 14.8, 50th(ms): 11.5, 90th(ms): 27.3, 95th(ms): 35.7, 99th(ms): 48.2, 99.9th(ms): 56.6, Max(ms): 67.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 68, TPM: 412.9, Sum(ms): 1291.9, Avg(ms): 19.0, 50th(ms): 15.7, 90th(ms): 29.4, 95th(ms): 39.8, 99th(ms): 54.5, 99.9th(ms): 58.7, Max(ms): 58.7
[Current] DELIVERY - Takes(s): 9.8, Count: 76, TPM: 463.3, Sum(ms): 8514.2, Avg(ms): 112.1, 50th(ms): 83.9, 90th(ms): 184.5, 95th(ms): 209.7, 99th(ms): 251.7, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 813, TPM: 4881.0, Sum(ms): 18489.5, Avg(ms): 22.8, 50th(ms): 19.9, 90th(ms): 37.7, 95th(ms): 44.0, 99th(ms): 54.5, 99.9th(ms): 58.7, Max(ms): 92.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 75, TPM: 451.5, Sum(ms): 735.3, Avg(ms): 9.8, 50th(ms): 9.4, 90th(ms): 13.6, 95th(ms): 16.3, 99th(ms): 19.9, 99.9th(ms): 23.1, Max(ms): 23.1
[Current] PAYMENT - Takes(s): 10.0, Count: 779, TPM: 4677.5, Sum(ms): 10700.5, Avg(ms): 13.7, 50th(ms): 11.0, 90th(ms): 24.1, 95th(ms): 29.4, 99th(ms): 41.9, 99.9th(ms): 52.4, Max(ms): 71.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 74, TPM: 445.1, Sum(ms): 1332.9, Avg(ms): 18.0, 50th(ms): 15.2, 90th(ms): 27.3, 95th(ms): 30.4, 99th(ms): 44.0, 99.9th(ms): 48.2, Max(ms): 48.2
